from_id,to_id,morning,afternoon,evening,night
1,2,0.8,0.6,0.9,0.3
1,3,0.7,0.5,0.8,0.4
1,4,0.6,0.7,0.8,0.3
1,5,0.9,0.7,0.9,0.4
1,6,0.8,0.6,0.9,0.3
2,3,0.7,0.5,0.8,0.4
2,4,0.6,0.7,0.8,0.3
2,7,0.5,0.6,0.7,0.2
3,4,0.8,0.7,0.9,0.4
3,9,0.7,0.6,0.8,0.3
4,8,0.6,0.5,0.7,0.2
4,9,0.8,0.7,0.9,0.4
5,6,0.9,0.8,0.9,0.5
5,10,0.7,0.6,0.8,0.3
6,7,0.6,0.5,0.7,0.2
7,8,0.5,0.4,0.6,0.2
7,13,0.7,0.6,0.8,0.3
8,9,0.6,0.5,0.7,0.2
9,10,0.8,0.7,0.9,0.4
10,11,0.7,0.6,0.8,0.3
11,12,0.6,0.5,0.7,0.2
12,14,0.8,0.7,0.9,0.4
13,14,0.7,0.6,0.8,0.3
14,15,0.9,0.8,0.9,0.5
15,1,0.8,0.7,0.9,0.4 
