node_id,latitude,longitude,population,type
1,29.96,31.25,250000,residential
2,30.06,31.34,500000,mixed
3,30.04,31.24,100000,business
4,30.03,31.47,300000,residential
5,30.09,31.32,200000,mixed
6,30.06,31.22,50000,residential
7,29.93,30.98,400000,mixed
8,29.99,31.21,550000,mixed
9,30.05,31.20,180000,business
10,30.03,31.21,220000,mixed
11,30.11,31.24,450000,residential
12,29.85,31.33,350000,industrial
13,30.02,31.80,50000,government
14,30.06,31.49,120000,residential
15,30.01,30.94,150000,residential
101,30.11,31.41,0,airport
102,30.06,31.25,0,transit_hub
103,30.03,31.21,0,education
104,30.05,31.26,0,education
105,30.05,31.23,0,tourism
106,30.07,31.30,0,sports
107,30.07,30.97,0,business
108,30.03,31.40,0,commercial
109,30.03,31.23,0,medical
110,29.95,31.25,0,medical 
